Total,CPU,3.71746,ms,CUDA,3.55981,ms
Post-Process,CPU,0.01216,ms,CUDA,0.03174,ms
Network,CPU,3.65853,ms,CUDA,3.51987,ms
Pre-Process,CPU,0.04678,ms,CUDA,0.00819,ms
Total,CPU,4.46409,ms,CUDA,4.27894,ms
Post-Process,CPU,0.01213,ms,CUDA,0.01171,ms
Network,CPU,4.40314,ms,CUDA,4.25904,ms
Pre-Process,CPU,0.04882,ms,CUDA,0.00819,ms
Total,CPU,3.71656,ms,CUDA,3.50512,ms
Post-Process,CPU,0.01206,ms,CUDA,0.01226,ms
Network,CPU,3.65885,ms,CUDA,3.48467,ms
Pre-Process,CPU,0.04566,ms,CUDA,0.00819,ms
Total,CPU,4.50574,ms,CUDA,4.3121,ms
Post-Process,CPU,0.01254,ms,CUDA,0.0129,ms
Network,CPU,4.43897,ms,CUDA,4.29056,ms
Pre-Process,CPU,0.05423,ms,CUDA,0.00864,ms
Total,CPU,3.70015,ms,CUDA,3.50394,ms
Post-Process,CPU,0.01286,ms,CUDA,0.01312,ms
Network,CPU,3.6401,ms,CUDA,3.48262,ms
Pre-Process,CPU,0.04719,ms,CUDA,0.00819,ms
Total,CPU,3.48131,ms,CUDA,3.29264,ms
Post-Process,CPU,0.01372,ms,CUDA,0.01366,ms
Network,CPU,3.40158,ms,CUDA,3.27104,ms
Pre-Process,CPU,0.066,ms,CUDA,0.00794,ms
Total,CPU,5.11473,ms,CUDA,4.91853,ms
Post-Process,CPU,0.01421,ms,CUDA,0.01386,ms
Network,CPU,5.05317,ms,CUDA,4.89594,ms
Pre-Process,CPU,0.04735,ms,CUDA,0.00874,ms
Total,CPU,3.46851,ms,CUDA,3.27562,ms
Post-Process,CPU,0.0112,ms,CUDA,0.01123,ms
Network,CPU,3.40906,ms,CUDA,3.256,ms
Pre-Process,CPU,0.04825,ms,CUDA,0.00838,ms
Total,CPU,4.82463,ms,CUDA,4.75021,ms
Post-Process,CPU,0.01251,ms,CUDA,0.01267,ms
Network,CPU,4.76455,ms,CUDA,4.72912,ms
Pre-Process,CPU,0.04758,ms,CUDA,0.00842,ms
Total,CPU,3.40122,ms,CUDA,3.29571,ms
Post-Process,CPU,0.03295,ms,CUDA,0.03325,ms
Network,CPU,3.32098,ms,CUDA,3.25427,ms
Pre-Process,CPU,0.04729,ms,CUDA,0.00819,ms
Total,CPU,4.90837,ms,CUDA,5.16198,ms
Post-Process,CPU,0.01181,ms,CUDA,0,ms
Network,CPU,4.84831,ms,CUDA,5.15379,ms
Pre-Process,CPU,0.04825,ms,CUDA,0.00819,ms
Total,CPU,3.48089,ms,CUDA,3.28672,ms
Post-Process,CPU,0.01465,ms,CUDA,0.01446,ms
Network,CPU,3.42029,ms,CUDA,3.26349,ms
Pre-Process,CPU,0.04594,ms,CUDA,0.00877,ms
Total,CPU,5.41903,ms,CUDA,5.23046,ms
Post-Process,CPU,0.01232,ms,CUDA,0.01229,ms
Network,CPU,5.35808,ms,CUDA,5.20934,ms
Pre-Process,CPU,0.04863,ms,CUDA,0.00883,ms
Total,CPU,3.49948,ms,CUDA,3.29238,ms
Post-Process,CPU,0.01299,ms,CUDA,0.01322,ms
Network,CPU,3.39803,ms,CUDA,3.27187,ms
Pre-Process,CPU,0.08847,ms,CUDA,0.0073,ms
Total,CPU,3.52824,ms,CUDA,3.33763,ms
Post-Process,CPU,0.01309,ms,CUDA,0.012,ms
Network,CPU,3.44237,ms,CUDA,3.31795,ms
Pre-Process,CPU,0.07279,ms,CUDA,0.00768,ms
Total,CPU,3.50975,ms,CUDA,3.27664,ms
Post-Process,CPU,0.03695,ms,CUDA,0.01229,ms
Network,CPU,3.42426,ms,CUDA,3.25651,ms
Pre-Process,CPU,0.04854,ms,CUDA,0.00784,ms
Total,CPU,5.16621,ms,CUDA,5.23629,ms
Post-Process,CPU,0.0112,ms,CUDA,0.00102,ms
Network,CPU,5.1036,ms,CUDA,5.22752,ms
Pre-Process,CPU,0.05142,ms,CUDA,0.00774,ms
Total,CPU,3.43584,ms,CUDA,3.25936,ms
Post-Process,CPU,0.01126,ms,CUDA,0.01126,ms
Network,CPU,3.36485,ms,CUDA,3.24022,ms
Pre-Process,CPU,0.05973,ms,CUDA,0.00787,ms
Total,CPU,3.48262,ms,CUDA,3.28746,ms
Post-Process,CPU,0.01229,ms,CUDA,0.01293,ms
Network,CPU,3.39441,ms,CUDA,3.26586,ms
Pre-Process,CPU,0.07592,ms,CUDA,0.00867,ms
Total,CPU,4.50834,ms,CUDA,4.31238,ms
Post-Process,CPU,0.01353,ms,CUDA,0.01309,ms
Network,CPU,4.41978,ms,CUDA,4.29056,ms
Pre-Process,CPU,0.07503,ms,CUDA,0.00874,ms
Total,CPU,3.49087,ms,CUDA,3.28365,ms
Post-Process,CPU,0.01229,ms,CUDA,0.0127,ms
Network,CPU,3.43223,ms,CUDA,3.26275,ms
Pre-Process,CPU,0.04636,ms,CUDA,0.00819,ms
Total,CPU,5.47598,ms,CUDA,0.00794,ms
Post-Process,CPU,0.01177,ms,CUDA,0,ms
Network,CPU,5.41615,ms,CUDA,0,ms
Pre-Process,CPU,0.04806,ms,CUDA,0.00794,ms
Total,CPU,3.49698,ms,CUDA,3.28646,ms
Post-Process,CPU,0.01225,ms,CUDA,0.01238,ms
Network,CPU,3.44464,ms,CUDA,3.2656,ms
Pre-Process,CPU,0.04009,ms,CUDA,0.00848,ms
Total,CPU,3.69845,ms,CUDA,3.50765,ms
Post-Process,CPU,0.01321,ms,CUDA,0.01347,ms
Network,CPU,3.6368,ms,CUDA,3.48598,ms
Pre-Process,CPU,0.04844,ms,CUDA,0.00819,ms
Total,CPU,5.0294,ms,CUDA,5.18893,ms
Post-Process,CPU,0.01113,ms,CUDA,0.00102,ms
Network,CPU,4.97191,ms,CUDA,5.18042,ms
Pre-Process,CPU,0.04636,ms,CUDA,0.00749,ms
Total,CPU,3.4823,ms,CUDA,3.28461,ms
Post-Process,CPU,0.01152,ms,CUDA,0.01162,ms
Network,CPU,3.42161,ms,CUDA,3.2648,ms
Pre-Process,CPU,0.04918,ms,CUDA,0.00819,ms
