Total,CPU,2.873688,ms,CUDA,2.674912,ms
Post-Process,CPU,0.017729,ms,CUDA,0.017824,ms
Network,CPU,2.772049,ms,CUDA,2.649600,ms
Pre-Process,CPU,0.083910,ms,CUDA,0.007488,ms
Total,CPU,2.990045,ms,CUDA,2.735616,ms
Post-Process,CPU,0.043458,ms,CUDA,0.000000,ms
Network,CPU,2.896920,ms,CUDA,2.727168,ms
Pre-Process,CPU,0.049667,ms,CUDA,0.008448,ms
Total,CPU,2.996350,ms,CUDA,2.807424,ms
Post-Process,CPU,0.017441,ms,CUDA,0.017760,ms
Network,CPU,2.929338,ms,CUDA,2.782208,ms
Pre-Process,CPU,0.049571,ms,CUDA,0.007456,ms
Total,CPU,3.831476,ms,CUDA,0.009216,ms
Post-Process,CPU,0.016769,ms,CUDA,0.001024,ms
Network,CPU,3.769680,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.045027,ms,CUDA,0.008192,ms
Total,CPU,3.015521,ms,CUDA,2.818656,ms
Post-Process,CPU,0.017601,ms,CUDA,0.017504,ms
Network,CPU,2.912986,ms,CUDA,2.793472,ms
Pre-Process,CPU,0.084934,ms,CUDA,0.007680,ms
Total,CPU,2.995008,ms,CUDA,2.793920,ms
Post-Process,CPU,0.017858,ms,CUDA,0.017760,ms
Network,CPU,2.930459,ms,CUDA,2.768576,ms
Pre-Process,CPU,0.046691,ms,CUDA,0.007584,ms
Total,CPU,3.687146,ms,CUDA,0.008640,ms
Post-Process,CPU,0.017473,ms,CUDA,0.001024,ms
Network,CPU,3.621478,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.048195,ms,CUDA,0.007616,ms
Total,CPU,2.927258,ms,CUDA,2.731040,ms
Post-Process,CPU,0.025089,ms,CUDA,0.025216,ms
Network,CPU,2.853750,ms,CUDA,2.698240,ms
Pre-Process,CPU,0.048419,ms,CUDA,0.007584,ms
Total,CPU,3.804146,ms,CUDA,3.832352,ms
Post-Process,CPU,0.016897,ms,CUDA,0.001024,ms
Network,CPU,3.738990,ms,CUDA,3.823616,ms
Pre-Process,CPU,0.048259,ms,CUDA,0.007712,ms
Total,CPU,3.377111,ms,CUDA,2.521952,ms
Post-Process,CPU,0.019585,ms,CUDA,0.019808,ms
Network,CPU,3.309843,ms,CUDA,2.493664,ms
Pre-Process,CPU,0.047683,ms,CUDA,0.008480,ms
Total,CPU,3.782449,ms,CUDA,3.869472,ms
Post-Process,CPU,0.017473,ms,CUDA,0.001024,ms
Network,CPU,3.717261,ms,CUDA,3.860480,ms
Pre-Process,CPU,0.047715,ms,CUDA,0.007968,ms
Total,CPU,3.212653,ms,CUDA,3.014656,ms
Post-Process,CPU,0.018114,ms,CUDA,0.018432,ms
Network,CPU,3.125575,ms,CUDA,2.988000,ms
Pre-Process,CPU,0.068964,ms,CUDA,0.008224,ms
Total,CPU,3.845462,ms,CUDA,0.008192,ms
Post-Process,CPU,0.017665,ms,CUDA,0.000000,ms
Network,CPU,3.781938,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.045859,ms,CUDA,0.008192,ms
Total,CPU,3.032288,ms,CUDA,2.841440,ms
Post-Process,CPU,0.020961,ms,CUDA,0.020992,ms
Network,CPU,2.964893,ms,CUDA,2.812928,ms
Pre-Process,CPU,0.046434,ms,CUDA,0.007520,ms
Total,CPU,4.299186,ms,CUDA,4.201824,ms
Post-Process,CPU,0.018401,ms,CUDA,0.018688,ms
Network,CPU,4.232494,ms,CUDA,4.174848,ms
Pre-Process,CPU,0.048291,ms,CUDA,0.008288,ms
Total,CPU,2.964637,ms,CUDA,2.765728,ms
Post-Process,CPU,0.047939,ms,CUDA,0.040320,ms
Network,CPU,2.871063,ms,CUDA,2.717216,ms
Pre-Process,CPU,0.045635,ms,CUDA,0.008192,ms
Total,CPU,3.503359,ms,CUDA,3.571424,ms
Post-Process,CPU,0.018305,ms,CUDA,0.001024,ms
Network,CPU,3.435483,ms,CUDA,3.562496,ms
Pre-Process,CPU,0.049571,ms,CUDA,0.007904,ms
Total,CPU,3.878743,ms,CUDA,0.009600,ms
Post-Process,CPU,0.016833,ms,CUDA,0.001024,ms
Network,CPU,3.811059,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.050851,ms,CUDA,0.008576,ms
Total,CPU,3.039425,ms,CUDA,2.841664,ms
Post-Process,CPU,0.017825,ms,CUDA,0.017856,ms
Network,CPU,2.973181,ms,CUDA,2.816064,ms
Pre-Process,CPU,0.048419,ms,CUDA,0.007744,ms
Total,CPU,4.047489,ms,CUDA,3.949280,ms
Post-Process,CPU,0.017953,ms,CUDA,0.018432,ms
Network,CPU,3.979709,ms,CUDA,3.922560,ms
Pre-Process,CPU,0.049827,ms,CUDA,0.008288,ms
Total,CPU,2.898393,ms,CUDA,2.704256,ms
Post-Process,CPU,0.017185,ms,CUDA,0.017248,ms
Network,CPU,2.835669,ms,CUDA,2.678624,ms
Pre-Process,CPU,0.045539,ms,CUDA,0.008384,ms
Total,CPU,3.805970,ms,CUDA,0.009344,ms
Post-Process,CPU,0.017473,ms,CUDA,0.001024,ms
Network,CPU,3.738286,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.050211,ms,CUDA,0.008320,ms
Total,CPU,2.876887,ms,CUDA,2.681088,ms
Post-Process,CPU,0.016833,ms,CUDA,0.017088,ms
Network,CPU,2.722605,ms,CUDA,2.656256,ms
Pre-Process,CPU,0.137449,ms,CUDA,0.007744,ms
Total,CPU,2.984350,ms,CUDA,2.788352,ms
