Total,CPU,3.09037,ms,CUDA,2.88314,ms
Post-Process,CPU,0.01763,ms,CUDA,0.01747,ms
Network,CPU,2.89341,ms,CUDA,2.85741,ms
Pre-Process,CPU,0.17933,ms,CUDA,0.00826,ms
Total,CPU,3.04605,ms,CUDA,2.85914,ms
Post-Process,CPU,0.01744,ms,CUDA,0.01741,ms
Network,CPU,2.97749,ms,CUDA,2.83408,ms
Pre-Process,CPU,0.05113,ms,CUDA,0.00765,ms
Total,CPU,3.08377,ms,CUDA,2.88902,ms
Post-Process,CPU,0.02499,ms,CUDA,0.0249,ms
Network,CPU,3.01079,ms,CUDA,2.85594,ms
Pre-Process,CPU,0.04799,ms,CUDA,0.00819,ms
Total,CPU,2.98408,ms,CUDA,2.82854,ms
Post-Process,CPU,0.01788,ms,CUDA,0.01808,ms
Network,CPU,2.91462,ms,CUDA,2.80227,ms
Pre-Process,CPU,0.05158,ms,CUDA,0.00819,ms
Total,CPU,2.93503,ms,CUDA,2.7401,ms
Post-Process,CPU,0.01734,ms,CUDA,0.01738,ms
Network,CPU,2.84346,ms,CUDA,2.71498,ms
Pre-Process,CPU,0.07423,ms,CUDA,0.00774,ms
Total,CPU,4.13042,ms,CUDA,4.1687,ms
Post-Process,CPU,0.01744,ms,CUDA,0.00102,ms
Network,CPU,4.06435,ms,CUDA,4.15949,ms
Pre-Process,CPU,0.04863,ms,CUDA,0.00819,ms
Total,CPU,3.03146,ms,CUDA,2.85699,ms
Post-Process,CPU,0.01769,ms,CUDA,0.04237,ms
Network,CPU,2.96296,ms,CUDA,2.80678,ms
Pre-Process,CPU,0.05081,ms,CUDA,0.00784,ms
Total,CPU,3.766,ms,CUDA,3.87482,ms
Post-Process,CPU,0.01785,ms,CUDA,0.00102,ms
Network,CPU,3.69916,ms,CUDA,3.8656,ms
Pre-Process,CPU,0.04898,ms,CUDA,0.00819,ms
Total,CPU,4.45737,ms,CUDA,3.93939,ms
Post-Process,CPU,0.02444,ms,CUDA,0.02464,ms
Network,CPU,4.35716,ms,CUDA,3.90656,ms
Pre-Process,CPU,0.07576,ms,CUDA,0.00819,ms
Total,CPU,2.98478,ms,CUDA,2.79347,ms
Post-Process,CPU,0.03692,ms,CUDA,0.03744,ms
Network,CPU,2.89309,ms,CUDA,2.74758,ms
Pre-Process,CPU,0.05477,ms,CUDA,0.00845,ms
Total,CPU,3.50607,ms,CUDA,2.52557,ms
Post-Process,CPU,0.01904,ms,CUDA,0.01901,ms
Network,CPU,3.4361,ms,CUDA,2.49818,ms
Pre-Process,CPU,0.05094,ms,CUDA,0.00838,ms
Total,CPU,3.045,ms,CUDA,2.83827,ms
Post-Process,CPU,0.01731,ms,CUDA,0.01722,ms
Network,CPU,2.97963,ms,CUDA,2.81328,ms
Pre-Process,CPU,0.04806,ms,CUDA,0.00778,ms
Total,CPU,2.94562,ms,CUDA,2.75718,ms
Post-Process,CPU,0.01763,ms,CUDA,0.01754,ms
Network,CPU,2.87549,ms,CUDA,2.73101,ms
Pre-Process,CPU,0.0525,ms,CUDA,0.00864,ms
Total,CPU,3.89839,ms,CUDA,4.07187,ms
Post-Process,CPU,0.04143,ms,CUDA,0.00102,ms
Network,CPU,3.80538,ms,CUDA,4.06323,ms
Pre-Process,CPU,0.05158,ms,CUDA,0.00762,ms
Total,CPU,3.00091,ms,CUDA,2.80838,ms
Post-Process,CPU,0.01747,ms,CUDA,0.01744,ms
Network,CPU,2.93225,ms,CUDA,2.78246,ms
Pre-Process,CPU,0.05119,ms,CUDA,0.00848,ms
Total,CPU,3.75931,ms,CUDA,0.00941,ms
Post-Process,CPU,0.01779,ms,CUDA,0.00102,ms
Network,CPU,3.69049,ms,CUDA,0,ms
Pre-Process,CPU,0.05103,ms,CUDA,0.00838,ms
Total,CPU,2.99294,ms,CUDA,2.79498,ms
Post-Process,CPU,0.04227,ms,CUDA,0.04208,ms
Network,CPU,2.90057,ms,CUDA,2.74461,ms
Pre-Process,CPU,0.0501,ms,CUDA,0.00829,ms
Total,CPU,3.68003,ms,CUDA,0.00822,ms
Post-Process,CPU,0.01757,ms,CUDA,0,ms
Network,CPU,3.58574,ms,CUDA,0,ms
Pre-Process,CPU,0.07672,ms,CUDA,0.00822,ms
Total,CPU,3.97028,ms,CUDA,4.09146,ms
Post-Process,CPU,0.0176,ms,CUDA,0.00102,ms
Network,CPU,3.90223,ms,CUDA,4.08269,ms
Pre-Process,CPU,0.05046,ms,CUDA,0.00774,ms
Total,CPU,3.04004,ms,CUDA,2.84464,ms
Post-Process,CPU,0.02121,ms,CUDA,0.02109,ms
Network,CPU,2.97055,ms,CUDA,2.81603,ms
Pre-Process,CPU,0.04828,ms,CUDA,0.00752,ms
Total,CPU,3.97319,ms,CUDA,0.0073,ms
Post-Process,CPU,0.0174,ms,CUDA,0,ms
Network,CPU,3.9038,ms,CUDA,0,ms
Pre-Process,CPU,0.05199,ms,CUDA,0.0073,ms
Total,CPU,3.05668,ms,CUDA,2.86029,ms
Post-Process,CPU,0.01715,ms,CUDA,0.01728,ms
Network,CPU,2.99102,ms,CUDA,2.83514,ms
Pre-Process,CPU,0.0485,ms,CUDA,0.00787,ms
Total,CPU,4.00097,ms,CUDA,0.00922,ms
Post-Process,CPU,0.0167,ms,CUDA,0.00102,ms
Network,CPU,3.94043,ms,CUDA,0,ms
Pre-Process,CPU,0.04383,ms,CUDA,0.00819,ms
Total,CPU,3.03937,ms,CUDA,2.84947,ms
Post-Process,CPU,0.0174,ms,CUDA,0.01757,ms
Network,CPU,2.97403,ms,CUDA,2.82326,ms
Pre-Process,CPU,0.04793,ms,CUDA,0.00864,ms
Total,CPU,3.03447,ms,CUDA,2.72589,ms
Post-Process,CPU,0.01785,ms,CUDA,0.0393,ms
Network,CPU,2.95762,ms,CUDA,2.67738,ms
Pre-Process,CPU,0.059,ms,CUDA,0.00922,ms
Total,CPU,3.92805,ms,CUDA,0.01027,ms
Post-Process,CPU,0.02956,ms,CUDA,0.00102,ms
Network,CPU,3.84877,ms,CUDA,0,ms
Pre-Process,CPU,0.04972,ms,CUDA,0.00925,ms
Total,CPU,3.03284,ms,CUDA,2.82355,ms
Post-Process,CPU,0.01894,ms,CUDA,0.01888,ms
Network,CPU,2.96095,ms,CUDA,2.7968,ms
Pre-Process,CPU,0.05295,ms,CUDA,0.00787,ms
Total,CPU,4.42099,ms,CUDA,0.00819,ms
Post-Process,CPU,0.01718,ms,CUDA,0,ms
Network,CPU,4.35329,ms,CUDA,0,ms
Pre-Process,CPU,0.05052,ms,CUDA,0.00819,ms
Total,CPU,2.99083,ms,CUDA,2.80454,ms
Post-Process,CPU,0.01737,ms,CUDA,0.01744,ms
Network,CPU,2.92409,ms,CUDA,2.77853,ms
Pre-Process,CPU,0.04937,ms,CUDA,0.00858,ms
Total,CPU,3.67968,ms,CUDA,3.89494,ms
Post-Process,CPU,0.01798,ms,CUDA,0.00102,ms
Network,CPU,3.6131,ms,CUDA,3.88506,ms
Pre-Process,CPU,0.0486,ms,CUDA,0.00886,ms
Total,CPU,3.00817,ms,CUDA,2.81866,ms
Post-Process,CPU,0.01801,ms,CUDA,0.01789,ms
Network,CPU,2.93986,ms,CUDA,2.79203,ms
Pre-Process,CPU,0.0503,ms,CUDA,0.00874,ms
Total,CPU,3.79162,ms,CUDA,0.00867,ms
Post-Process,CPU,0.04463,ms,CUDA,0,ms
Network,CPU,3.70159,ms,CUDA,0,ms
Pre-Process,CPU,0.0454,ms,CUDA,0.00867,ms
Total,CPU,2.92028,ms,CUDA,2.7409,ms
Post-Process,CPU,0.01728,ms,CUDA,0.01725,ms
Network,CPU,2.85828,ms,CUDA,2.71507,ms
Pre-Process,CPU,0.04473,ms,CUDA,0.00858,ms
Total,CPU,3.15256,ms,CUDA,2.96534,ms
Post-Process,CPU,0.03855,ms,CUDA,0.03853,ms
